main_type,main_search_ratio,main_search_ratio_scaled,main_type_interest_score
음식,62.4,0.9999999999999999,0.9999999999999999
쇼핑,11.5,0.1737012987012987,0.1737012987012987
문화관광,8.2,0.12012987012987011,0.12012987012987011
기타관광,6.2,0.08766233766233765,0.08766233766233765
레저스포츠,4.0,0.051948051948051945,0.051948051948051945
역사관광,3.0,0.03571428571428571,0.03571428571428571
숙박,2.7,0.030844155844155847,0.030844155844155847
자연관광,1.1,0.00487012987012987,0.00487012987012987
체험관광,0.8,0.0,0.0
