순위,관광지ID,업소명,분류
44,d3aea92ca77aab9674db90a57101ec1a,봉주르팔당,간이음식
45,502ef68296999a57fc65d280ca2b80b4,삼동소바남양주왕숙점 [일식],외국식
46,d807569b66375d218f60437984414e4e,스타벅스남양주화도DT점,카페/찻집
47,0ac6e37305a8b0dd4c2b30f3db9686ab,테이블스라운지북한강점,카페/찻집
48,f1e08e0f0ae26dd173de6c7beb469215,스타벅스남양주진접DT점,카페/찻집
49,24b263216a5739dc68386af0fdbee6e8,키스톤스피시즈,카페/찻집
50,e71a67809d08b94c83bea058ff2ce60a,김삿갓밥집본점 [한식],한식
51,c89a37919bdafcb871ce1083632481d8,THE377베이커리카페2호점,간이음식
52,2cbf0df9a029ca060e97bb32f217161b,스타벅스남양주삼패점,카페/찻집
53,62c6f3dc4d8a0c61457e094d1209c8b2,강경불고기별내직영점,한식
54,0feda1152462cc95e3b145c1f751d309,면포도궁팔당본점,간이음식
55,291ef672c7671dff9cf823bf4ad6db2a,홍익돈까스별내점,전문음식
56,00723002170e3f7d7486ed1d4a319465,리버나인,카페/찻집
57,ddc04ace67055da791a03b43492d8ddf,봉커피,카페/찻집
58,6dc254b255510612111c86415fd19dc8,경복궁삼계탕별내점,한식
59,7a6e07decff5b6506640e67f36559f40,장우가든남양주본점,한식
60,cecef797db55035d0eddd8532afad0c0,스테이564,전문음식
61,94b64ad0bb23d04ed307b7ea24e2b028,시가올비빔국수,한식
62,6c9f63366e97172172b18f54b3223cd5,배양리두루치기본점,한식
63,5a0f68ecfdb4c59a8919eb306c5601ef,팔당초계국수본점,한식
64,ab1ece9a4ff5faff5a85bcf9f6ab90fd,고모네콩탕,한식
65,edeea578987c64a48e7bd9843b2462ab,비루개,카페/찻집
66,15b93dd5c6478aa1de3ef2b05d4c514e,한강632스트릿,카페/찻집
67,02bf634f49bcd5cecae57de26bdee3bf,시티10,카페/찻집
68,332b05b1efd014cb562d5c656ffeb968,배두둑,한식
69,71dc9ad56fe5a6e3dd75e5a37ae279cb,나인블럭미음나루DT점,카페/찻집
70,3cc141b9dc4d29c5d9718198cf797d6f,베이커리씨어터,카페/찻집
71,cd92f96e0d34dcd2743d506f737a5906,더늘봄,한식
72,e917eae381ce1cc221cebc73e7384e4d,일호갈비탕,한식
73,78e58aff453d07912777476171dfeed0,고집통문어칼국수별내별가람역점,한식
74,148902e4ec52fb2778f412531e3807f3,투썸플레이스도농사거리점,카페/찻집
75,9dcfd99b8337f90460d11c21966fc66a,쌍둥이해장국,한식
76,004b7888a99fc82c7390dc17158941c2,기와집순두부조안본점,한식
77,bf08d1675502b3dfad04a0c2fbd90d72,돗가비불쭈꾸미금남점,전문음식
78,441a3580a1b32e4b99435adf5a8db540,약수촌,전문음식
79,a0c5690405242528ade379405d842e84,버거킹남양주다산지금점,간이음식
80,11eb60603b27024fefe0fb7f7833fcca,북한강막국수닭갈비,전문음식
81,c2a129d8d277e6c3f218b53126758be9,데저트,카페/찻집
82,a0c638f6b6fa0e9d1346e85fdab3fbf8,스타벅스평내DT점,카페/찻집
83,878a5e8bf3ea2ad4a26cc69f8c069ef2,화도수산,전문음식
84,e6cf332a8172cf3ceeb194731b8ba90b,북한강돌짜장[중식],외국식
85,4109e002f98978ca5a8d8f8fecfc0948,별내옥설농탕,한식
86,6b653c83b12b7fbaf868c8fdd047a8d3,새벽카페호르,카페/찻집
87,9f75ef22a1322275b10045f72e3d06a3,삼대째손두부,한식
88,d474f019d7eca951926c36dbd884e6b5,담터쭈꾸미,전문음식
89,a0fe19e48724a08a692437c415767d37,스타벅스남양주묵현DT점,카페/찻집
90,34979c25b0932b197215c8a160e7b2d1,어썸브레드팬트리점,간이음식
91,2d7b25eff08ac816ab24fe836d1a380d,진건감자옹심이,한식
92,27d40334af4c01dda65759393b73a60c,어랑손만두국,한식
93,0400c5feecb984ec156fad462623ed50,남양주한우마을,한식
94,722d854dcd1816a14a96fcdf8ecc95d8,카페달쉼,카페/찻집
95,9914f619e10f32f4826d68febdbcd2fb,스타벅스별내별가람역점,카페/찻집
96,311c8c63564722dacedb57622610c11e,황금들밥미음나루점,한식
97,5205492e4677db2adc430e566457d179,한옥에서피자온고재,외국식
98,bf834488ed42d23800086f1aeb2b4ad0,대왕가든,전문음식
99,459456a43beb7ddd8b8659a85ecbbcf4,가람베이커리카페,간이음식
100,30f1143ad35b10fa5294e6a5ebdade2d,돼지마을순대국,한식
