언어명,관광지명,구분
일본어,"南楊州 洪陵（高宗と明成皇后）と裕陵（純宗と純明・純貞皇后）［ユネスコ世界遺産（文化遺産）］（남양주 홍릉（고종과 명성황후）과 유릉（순종과 순명_순정 황후）[유네스코 세계문화유산]）",역사관광지
일본어,天摩山郡立公園（천마산군립공원）,자연관광지
일본어,"南楊州 光陵（世祖、貞喜王后）［ユネスコ世界遺産（文化遺産）］（남양주 광릉（세조_정희왕후）[유네스코 세계문화유산]）",역사관광지
일본어,水鐘寺（수종사）,역사관광지
일본어,茶山遺跡地（南楊州）（다산유적지（남양주））,역사관광지
일본어,南楊州 思陵（定順王后）［ユネスコ世界遺産（文化遺産）］（남양주 사릉（정순왕후） [유네스코 세계문화유산]）,역사관광지
일본어,モンゴル文化村（몽골문화촌）,체험관광지
일본어,祝霊山自然休養林（축령산자연휴양림）,자연관광지
