언어명,관광지명,구분
중간체,茶山遗址(南杨州)다산유적지(남양주),역사관광지
중간체,常春花园(늘봄가든),음식점
중간체,"南杨州洪陵(高宗与明成皇后)与裕陵(纯宗与纯明、纯贞皇后)[联合国教科文组织世界文化遗产]남양주 홍릉(고종과 명성황후)과 유릉(순종과 순명_순정 황후) [유네스코 세계문화유산]",역사관광지
중간체,"南杨州光陵(世祖_ 贞熹王后)[联合国教科文组织世界文化遗产]남양주 광릉 (세조_정희왕후) [유네스코 세계문화유산]",역사관광지
중간체,蒙古文化村(몽골문화촌),체험관광지
중간체,南杨州思陵(定顺王后)[联合国教科文组织世界文化遗产]남양주 사릉(정순왕후)  [유네스코 세계문화유산]),역사관광지
중간체,水洞国家旅游区(수동국민관광지),휴양관광지
중간체,祝灵山自然休养林(축령산자연휴양림),자연관광지
