순위,관광지ID,업소명,분류
45,c00aa9369ff8f3e4011ccbf5db4955d2,뚜레한우남양주점,한식
46,99ab1bc861db1add270a2dd1b91d80e7,카페로이테,카페/찻집
47,9f56f51bee0b874f3692f4ab6e4b34bf,미음나루음식문화거리,음식점기타
48,0ac6e37305a8b0dd4c2b30f3db9686ab,테이블스라운지북한강점,카페/찻집
49,f20ee02aa8c203ba7c1f591f542679bb,인플럭스남양주,카페/찻집
50,3cc141b9dc4d29c5d9718198cf797d6f,베이커리씨어터,카페/찻집
51,cecef797db55035d0eddd8532afad0c0,스테이564,전문음식
52,62c6f3dc4d8a0c61457e094d1209c8b2,강경불고기별내직영점,한식
53,bde5d6d929b94eafada41c02ccd15ab1,리버브릭,카페/찻집
54,1e0bd33b1ba728fd6b2a44bf700fa1fd,애슐리퀸즈다산점,전문음식
55,722d854dcd1816a14a96fcdf8ecc95d8,카페달쉼,카페/찻집
56,cd8f896648015d087c266f65f6e1bbb8,팔당개성집,한식
57,6b653c83b12b7fbaf868c8fdd047a8d3,새벽카페호르,카페/찻집
58,e6cf332a8172cf3ceeb194731b8ba90b,북한강돌짜장[중식],외국식
59,c8f1a7d2cd2569cd60d5285e108a4794,팔당제빵소본점,간이음식
60,22faa0617ebe3f706e32c9575b9ec5e7,고메스퀘어별내점,전문음식
61,83a88d5cbe547a34d6688371d52c5912,팔당빵공장,카페/찻집
62,f7f156481b8d9d16f79e02cc2ab0a121,대청마루,한식
63,2de980c400192ed31dfe1099ee5e1778,리펠,카페/찻집
64,bebd7aaca58f1b645a81cac9a173c0e3,일심본가콩요리,한식
65,f4ac0151cce6dce6c5c749d6afce7929,VIPS프리미어다산점,전문음식
66,5c5543c74efb7e9042cf62b9b18e12f6,카페봉주르,카페/찻집
67,2bebe1dfc21acb476d6660c19c904693,어나더쥬얼리,카페/찻집
68,441a3580a1b32e4b99435adf5a8db540,약수촌,전문음식
69,56b6421dcc14e5d4e64e347976802d53,팔숲,카페/찻집
70,b6d5af4ca57a995191225ce26641ea9a,트윈트리,카페/찻집
71,e1444b9fca71093d827f1ef061817af6,온누리쭈꾸미팔당본점,전문음식
72,c92b6de8c25f93d70837e924efd54131,돌미나리집,한식
73,80ba1d02921c8577e9a0e3efdda4b458,우리집팔당닭발본점,한식
74,354d457203fc447524dfba7a53fafc8e,스타벅스다산DT점,카페/찻집
75,1c12f67928d4e0cb2e306de7fd73604b,온누리누룽지백숙&진흙구이팔당점,한식
76,311c8c63564722dacedb57622610c11e,황금들밥미음나루점,한식
77,24b263216a5739dc68386af0fdbee6e8,키스톤스피시즈,카페/찻집
78,8ca149f30b0d52ded1cad1c7d2dbe052,오팔당,한식
79,b0e559c8cc0b73571b37004528eaa9d6,별내카페거리,음식점기타
80,d474f019d7eca951926c36dbd884e6b5,담터쭈꾸미,전문음식
81,c89a37919bdafcb871ce1083632481d8,THE377베이커리카페2호점,간이음식
82,a9a3226ffe8404e77c169d8f93568e5a,브레드쏭본점,카페/찻집
83,81707f639da06e5f56b12970336ac81e,퀴에스카페,카페/찻집
84,7a5498ae90d834bab958d7ba38cc6124,북한강막국수닭갈비삼봉직영점,전문음식
85,94b64ad0bb23d04ed307b7ea24e2b028,시가올비빔국수,한식
86,cbf7bdc26e12d49bfe07538bc0e19491,라조리오,카페/찻집
87,4a40f4bc635a0f6d3470f847c1b2552e,애슐리퀸즈별내점,전문음식
88,27d40334af4c01dda65759393b73a60c,어랑손만두국,한식
89,f1d623837aa2e303cf9e9e377ae4cf53,고당,카페/찻집
90,e8f6bfa7126e10ebd0591b6fe1c9ef9a,로마옥리버사이드점,외국식
91,4312627cef78aeaa23604ec80505dcde,버드나무집[한식],한식
92,a916a236b43f9a0638d1e0217bafaae6,도토리오솔길본점,한식
93,b041af2e145e429ae4b56f67bc8eb5ad,진미오리구이,전문음식
94,62d1f1ff454e6ae2e1a857aa8afacc10,광릉돌솥밥,한식
95,c8ba26551d6cc4ac5bbe83abbecf5832,명가소나무집,전문음식
96,b26dbb562c96520c4a72729dbd752245,황금코다리다산점,한식
97,2ac3f47ea4c75d1faeb344f5b871f1be,죽여주는동치미국수,한식
98,b5536e2da55d8fc8f39b9c47629d529f,태능맥갈비본점,한식
99,0400c5feecb984ec156fad462623ed50,남양주한우마을,한식
100,8df2bcd71348f5cccb22132a4c4042c3,녹화,카페/찻집
