순위,관광지ID,업소명,분류
44,2cbf0df9a029ca060e97bb32f217161b,스타벅스남양주삼패점,카페/찻집
45,354d457203fc447524dfba7a53fafc8e,스타벅스다산DT점,카페/찻집
46,00723002170e3f7d7486ed1d4a319465,리버나인,카페/찻집
47,f4ac0151cce6dce6c5c749d6afce7929,VIPS프리미어다산점,전문음식
48,0ac6e37305a8b0dd4c2b30f3db9686ab,테이블스라운지북한강점,카페/찻집
49,c2a129d8d277e6c3f218b53126758be9,데저트,카페/찻집
50,5205492e4677db2adc430e566457d179,한옥에서피자온고재,외국식
51,0d7b09930c91acc918d7985062a79a96,맥도날드진접DT점,간이음식
52,f8f239c998c9ddde3bb1976351a2a4fb,바닐라브릭,카페/찻집
53,f7f156481b8d9d16f79e02cc2ab0a121,대청마루,한식
54,62c6f3dc4d8a0c61457e094d1209c8b2,강경불고기별내직영점,한식
55,cecef797db55035d0eddd8532afad0c0,스테이564,전문음식
56,3cc141b9dc4d29c5d9718198cf797d6f,베이커리씨어터,카페/찻집
57,4a40f4bc635a0f6d3470f847c1b2552e,애슐리퀸즈별내점,전문음식
58,99ab1bc861db1add270a2dd1b91d80e7,카페로이테,카페/찻집
59,722d854dcd1816a14a96fcdf8ecc95d8,카페달쉼,카페/찻집
60,f20ee02aa8c203ba7c1f591f542679bb,인플럭스남양주,카페/찻집
61,6b653c83b12b7fbaf868c8fdd047a8d3,새벽카페호르,카페/찻집
62,b0e559c8cc0b73571b37004528eaa9d6,별내카페거리,음식점기타
63,e6cf332a8172cf3ceeb194731b8ba90b,북한강돌짜장[중식],외국식
64,24b263216a5739dc68386af0fdbee6e8,키스톤스피시즈,카페/찻집
65,4eff000f86694f0489827d32370a5ea1,맥도날드평내DT점,간이음식
66,bde5d6d929b94eafada41c02ccd15ab1,리버브릭,카페/찻집
67,441a3580a1b32e4b99435adf5a8db540,약수촌,전문음식
68,c89a37919bdafcb871ce1083632481d8,THE377베이커리카페2호점,간이음식
69,c8f1a7d2cd2569cd60d5285e108a4794,팔당제빵소본점,간이음식
70,b5e660f69cc5c722a0f9bc88df416706,맥도날드마석DT점,간이음식
71,8f3d20ea7c283d44d4b059c41fdbe332,별미지교본점,전문음식
72,cd8f896648015d087c266f65f6e1bbb8,팔당개성집,한식
73,b6d5af4ca57a995191225ce26641ea9a,트윈트리,카페/찻집
74,311c8c63564722dacedb57622610c11e,황금들밥미음나루점,한식
75,83a88d5cbe547a34d6688371d52c5912,팔당빵공장,카페/찻집
76,bebd7aaca58f1b645a81cac9a173c0e3,일심본가콩요리,한식
77,94b64ad0bb23d04ed307b7ea24e2b028,시가올비빔국수,한식
78,7683d47555d82f37bd02de32fb2be362,자반고다산신도시점,한식
79,2de980c400192ed31dfe1099ee5e1778,리펠,카페/찻집
80,d474f019d7eca951926c36dbd884e6b5,담터쭈꾸미,전문음식
81,e1444b9fca71093d827f1ef061817af6,온누리쭈꾸미팔당본점,전문음식
82,2bebe1dfc21acb476d6660c19c904693,어나더쥬얼리,카페/찻집
