addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode,lDongRegnCd,lDongSignguCd,lclsSystm1,lclsSystm2,lclsSystm3
경기도 안양시 동안구 안양판교로 1 (관양동),,31,A05,A0502,A05020100,2864545,39,20221006152542,http://tong.visitkorea.or.kr/cms/resource/39/2864539_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/2864539_image3_1.jpg,Type3,126.9778256999,37.4027871363,6,20250619111915,17,,뜰에서화로구이 인덕원점,13942,41,173,FD,FD01,FD010100
경기도 용인시 기흥구 기흥단지로 81-7 (고매동),,31,A05,A0502,A05020100,2756692,39,20211013235432,http://tong.visitkorea.or.kr/cms/resource/87/2756887_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/2756887_image2_1.jpg,Type3,127.1067466859,37.2275930732,6,20250718101847,23,,뜰채,17086,41,463,FD,FD01,FD010100
경기도 파주시 탄현면 필승로 200,,,,,,2918574,38,20221031145319,https://tong.visitkorea.or.kr/cms/resource/41/4024141_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/41/4024141_image3_1.jpg,Type3,126.695385303664,37.769351232912,6,20260327092150,,,띠어리 남성 신세계사이먼프리미엄아울렛 파주점,10862,41,480,SH,SH04,SH040300
경기도 파주시 회동길 390 (문발동),1층,,,,,2918544,38,20221031150830,https://tong.visitkorea.or.kr/cms/resource/29/4023729_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/29/4023729_image3_1.jpg,Type3,126.693761637413,37.7178192715729,6,20260319051653,,,띠어리 복합 롯데프리미엄아울렛 파주점,10881,41,480,SH,SH04,SH040300
경기도 여주시 명품로 360 (상거동),,,,,,2918758,38,20221031153035,https://tong.visitkorea.or.kr/cms/resource/55/4022055_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/55/4022055_image3_1.jpg,Type3,127.612385423931,37.2459466972835,6,20260319004406,,,띠어리 복합 신세계사이먼프리미엄아울렛 여주점,12646,41,670,SH,SH04,SH040300
경기도 김포시 고촌읍 아라육로152번길 100,,,,,,2925867,38,20221031143836,https://tong.visitkorea.or.kr/cms/resource/86/4021286_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/86/4021286_image3_1.jpg,Type3,126.785233626536,37.5972368549658,6,20260319094959,,,띠어리아울렛 복합 현대프리미엄아울렛 김포점,10135,41,570,SH,SH04,SH040300
경기도 시흥시 서해안로 699 (배곧동),,,,,,2929940,38,20221031154255,https://tong.visitkorea.or.kr/cms/resource/59/4021359_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/59/4021359_image3_1.jpg,Type3,126.736985310798,37.3796755964231,6,20260319094959,,,띠어리아울렛 여성 신세계사이먼프리미엄아울렛 시흥점,15010,41,390,SH,SH04,SH040300
경기도 광명시 일직로12번길 22 (일직동),,31,B02,B0201,B02010100,2847311,32,20220831163752,,,,126.8819922336,37.4212860577,6,20250424175244,4,,라까사호텔 광명,14344,41,210,AC,AC01,AC010100
경기도 광주시 곤지암읍 경충대로 278,,31,A05,A0502,A05020900,2893250,39,20221101172817,http://tong.visitkorea.or.kr/cms/resource/49/2893249_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/49/2893249_image3_1.jpg,Type3,127.3719251484,37.3360575234,6,20250428171228,5,,라꾸에스타,12813,41,610,FD,FD05,FD050100
경기도 성남시 중원구 마지로 130-5 (하대원동),,31,A05,A0502,A05020900,2838155,39,20220817154914,http://tong.visitkorea.or.kr/cms/resource/43/2838143_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/2838143_image3_1.jpg,Type3,127.1439043640,37.4270678558,6,20250520165914,12,,라드독,13407,41,133,FD,FD05,FD050100
