country_name,foreign_visit_ratio,country_region,cumulative_foreign_ratio,foreign_ratio_scaled,foreign_demand_score,is_top_foreign_country
기타,17.16,기타,17.16,0.9999999999999999,0.9999999999999999,1
필리핀,11.49,아시아권,28.65,0.668614845119813,0.668614845119813,1
중국,11.04,아시아권,39.69,0.6423144360023377,0.6423144360023377,1
미국,10.22,북미권,49.91,0.5943892460549386,0.5943892460549386,1
일본,7.55,아시아권,57.459999999999994,0.4383401519579193,0.4383401519579193,1
베트남,6.33,아시아권,63.78999999999999,0.36703682057276443,0.36703682057276443,0
인도네시아,5.68,아시아권,69.47,0.3290473407364114,0.3290473407364114,0
캐나다,3.55,북미권,73.02,0.20455873758036236,0.20455873758036236,0
대만,3.46,아시아권,76.47999999999999,0.19929865575686734,0.19929865575686734,0
홍콩,3.2,아시아권,79.67999999999999,0.18410286382232613,0.18410286382232613,0
말레이시아,3.16,아시아권,82.83999999999999,0.18176504967855056,0.18176504967855056,0
몽골,2.6,아시아권,85.43999999999998,0.14903565166569258,0.14903565166569258,0
태국,2.21,아시아권,87.64999999999998,0.12624196376388078,0.12624196376388078,0
러시아,1.99,유럽권,89.63999999999997,0.11338398597311512,0.11338398597311512,0
싱가포르,1.92,아시아권,91.55999999999997,0.10929281122150789,0.10929281122150789,0
오스트레일리아,1.71,오세아니아권,93.26999999999997,0.09701928696668614,0.09701928696668614,0
독일,1.6,유럽권,94.86999999999996,0.09059029807130332,0.09059029807130332,0
영국,1.33,유럽권,96.19999999999996,0.07481005260081823,0.07481005260081823,0
인도,1.12,아시아권,97.31999999999996,0.06253652834599649,0.06253652834599649,0
프랑스,0.91,유럽권,98.22999999999996,0.050263004091174755,0.050263004091174755,0
카자흐스탄,0.64,기타,98.86999999999996,0.034482758620689655,0.034482758620689655,0
튀르키예,0.62,기타,99.48999999999997,0.03331385154880187,0.03331385154880187,0
멕시코,0.23,기타,99.71999999999997,0.010520163646990065,0.010520163646990065,0
사우디아라비아,0.22,기타,99.93999999999997,0.009935710111046171,0.009935710111046171,0
아랍에미리트,0.05,기타,99.98999999999997,0.0,0.0,0
