addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode,lDongRegnCd,lDongSignguCd,lclsSystm1,lclsSystm2,lclsSystm3
경기도 남양주시 다산중앙로82번안길 156 (다산동),정행법조빌딩 1층,31.0,A05,A0502,A05020900,3447080,39,20241217110249,http://tong.visitkorea.or.kr/cms/resource/79/3447079_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/3447079_image3_1.jpg,Type1,127.1688134682,37.6131244851,6.0,20250820155955,9.0,,그란스 다산,12249,41,360.0,FD,FD05,FD050100
경기도 남양주시 화도읍 북한강로 1332-1,,31.0,A05,A0502,A05020100,802310,39,20090914183047,http://tong.visitkorea.or.kr/cms/resource/53/1788253_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/53/1788253_image3_1.jpg,Type3,127.3511435578,37.6318061853,6.0,20250404162743,9.0,,금남멧돼지,12194,41,360.0,FD,FD01,FD010100
경기도 남양주시 조안면 북한강로 133,,31.0,A05,A0502,A05020100,133834,39,20040219090000,,,,127.3024257078,37.5372357218,6.0,20251222193424,9.0,,기와집순두부,12282,41,360.0,FD,FD01,FD010100
경기도 남양주시 화도읍 경춘로 2483,,31.0,A05,A0502,A05020100,2877273,39,20221027135845,http://tong.visitkorea.or.kr/cms/resource/66/2877266_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/2877266_image3_1.jpg,Type3,127.3615777836,37.6641887249,6.0,20250513142348,9.0,,김삿갓밥집,12192,41,360.0,FD,FD01,FD010100
경기도 남양주시 다산중앙로123번길 22-26 (다산동),,31.0,A05,A0502,A05020900,2847337,39,20220831165946,http://tong.visitkorea.or.kr/cms/resource/35/2847335_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/2847335_image3_1.jpg,Type3,127.1524396218,37.6249228174,6.0,20250512175235,9.0,,꼬모윤,12248,41,360.0,FD,FD05,FD050100
경기도 남양주시 별내면 송산로679번길 24-28,,31.0,A05,A0502,A05020100,2863188,39,20221004150224,http://tong.visitkorea.or.kr/cms/resource/80/2863180_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/80/2863180_image3_1.jpeg,Type3,127.1211403995,37.6973888241,6.0,20250513104659,9.0,,꽃다지쌈밥,12090,41,360.0,FD,FD01,FD010100
경기도 남양주시 와부읍 안골로25번길 21-47,,31.0,A05,A0502,A05020100,2862574,39,20221004093521,http://tong.visitkorea.or.kr/cms/resource/69/2862569_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/69/2862569_image3_1.JPG,Type3,127.2363190606,37.5912393623,6.0,20250513101351,9.0,,끼리한우정육식당,12269,41,360.0,FD,FD01,FD010100
경기도 남양주시 와부읍 다산로 56,,31.0,A05,A0502,A05020900,2830897,39,20220802101712,http://tong.visitkorea.or.kr/cms/resource/91/2830891_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/2830891_image3_1.jpg,Type3,127.2552826914,37.5400262083,6.0,20250512165507,9.0,,나인블럭 뷰 팔당점,12277,41,360.0,FD,FD05,FD050100
경기도 남양주시 불암로 103 (별내동),,31.0,A05,A0502,A05020100,2864268,39,20221006110330,http://tong.visitkorea.or.kr/cms/resource/52/2864252_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/52/2864252_image3_1.JPG,Type3,127.1107704715,37.6502885586,6.0,20250513105339,9.0,,낙지왕궁 본점,12100,41,360.0,FD,FD01,FD010100
경기도 남양주시 진접읍 광릉수목원로 354,,31.0,A02,A0201,A02010700,125546,12,20031128090000,http://tong.visitkorea.or.kr/cms/resource/73/3466173_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/73/3466173_image3_1.JPG,Type3,127.1751034486,37.7486449499,6.0,20250707174335,9.0,,남양주 광릉(세조·정희왕후) [유네스코 세계유산],12001,41,360.0,HS,HS01,HS010800
경기도 남양주시 와부읍 팔당로 163,,31.0,A02,A0201,A02010700,976598,12,20100316202500,http://tong.visitkorea.or.kr/cms/resource/35/3404735_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/35/3404735_image3_1.JPG,Type3,127.2487914923,37.5443144815,6.0,20250325164908,9.0,,남양주 구 팔당역,12277,41,360.0,HS,HS01,HS011100
경기도 남양주시 진건읍 사릉로 180,,,,,,250408,12,20071026090000,https://tong.visitkorea.or.kr/cms/resource/85/3500285_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/85/3500285_image3_1.jpg,Type3,127.1979651798067,37.64402204549423,6.0,20260311100340,,,남양주 사릉(정순왕후) [유네스코 세계유산],12140,41,360.0,HS,HS01,HS010800
경기도 남양주시 진접읍 해밀예당1로 96,,31.0,A02,A0206,A02060300,2507011,14,20170911191759,http://tong.visitkorea.or.kr/cms/resource/04/3467404_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/04/3467404_image3_1.JPG,Type3,127.1910640109,37.7171489044,6.0,20250610111014,9.0,,남양주 어린이비전센터,12057,41,360.0,VE,VE07,VE070300
경기도 남양주시 홍유릉로 352-1,,,,,,125548,12,20031128090000,https://tong.visitkorea.or.kr/cms/resource/06/3500306_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/06/3500306_image3_1.jpg,Type3,127.209605373296,37.6315015390282,6.0,20260309172221,,,남양주 홍릉(고종·명성황후)과 유릉(순종·순명황후·순정황후) [유네스코 세계유산],12238,41,360.0,HS,HS01,HS010800
경기도 남양주시 경춘로 883-36 (금곡동),,31.0,A02,A0206,A02060700,129868,14,20071106103342,http://tong.visitkorea.or.kr/cms/resource/31/3475731_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/31/3475731_image3_1.JPG,Type3,127.1982102198,37.6330643664,6.0,20250509135324,9.0,,남양주문화원,12235,41,360.0,VE,VE09,VE090100
경기도 남양주시 덕송3로 76 (별내동),,,,,,3013742,28,20230921134044,https://tong.visitkorea.or.kr/cms/resource/27/3013327_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/27/3013327_image3_1.jpg,Type3,127.11258621875471,37.673674918462254,6.0,20260428104643,,,남양주별내빙상장,12092,41,360.0,LS,LS01,LS010900
경기도 남양주시 와부읍 팔당로 121,,31.0,A02,A0206,A02060100,1936797,14,20140725020354,http://tong.visitkorea.or.kr/cms/resource/16/3381916_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/16/3381916_image3_1.JPG,Type3,127.2443918318,37.546439155,6.0,20250404163805,9.0,,남양주시립박물관,12277,41,360.0,VE,VE07,VE070100
경기도 남양주시 오남읍 진건오남로 516-31,,,,,,1030473,28,20100525222318,,,,127.21618113438,37.6789903122365,6.0,20260305095851,,,남양주컨트리클럽,12050,41,360.0,LS,LS01,LS010400
경기도 남양주시 강변북로632번길 14 (수석동),,,,,,2733839,12,20210813191433,https://tong.visitkorea.or.kr/cms/resource/20/3507920_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/20/3507920_image3_1.jpg,Type1,127.17092906201816,37.58597509731076,6.0,20260312090840,,,남양주한강공원(삼패지구),12268,41,360.0,VE,VE03,VE030100
경기도 남양주시 와부읍 경강로926번길 80,,,,,,2605334,28,20190606001529,https://tong.visitkorea.or.kr/cms/resource/80/3507080_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/80/3507080_image3_1.jpg,Type3,127.238746566691,37.5495870547883,60.0,20260311100340,,,남한강 자전거길,12277,41,360.0,LS,LS01,LS010200
경기도 남양주시 다산순환로 50 (다산동),3층,,,,,4012029,38,20260205113719,https://tong.visitkorea.or.kr/cms/resource/50/4042750_image2_1.JPG,https://tong.visitkorea.or.kr/cms/resource/50/4042750_image3_1.JPG,Type3,127.152429100255,37.616257926116,,20260327092150,,,내셔널지오그래픽키즈 현대프리미엄아울렛 스페이스원점,12248,41,360.0,SH,SH04,SH040300
경기도 남양주시 호평로68번길 7 (호평동),,,,,,4025355,38,20260226232903,https://tong.visitkorea.or.kr/cms/resource/78/4042778_image2_1.JPG,https://tong.visitkorea.or.kr/cms/resource/78/4042778_image3_1.JPG,Type3,127.248229995089,37.6555213258782,,20260326092041,,,노브랜드 남양주호평점,12151,41,360.0,SH,SH04,SH040300
경기도 남양주시 화도읍 경춘로 1645,1층,,,,,4025356,38,20260226233015,https://tong.visitkorea.or.kr/cms/resource/81/4042781_image2_1.JPG,https://tong.visitkorea.or.kr/cms/resource/81/4042781_image3_1.JPG,Type3,127.273963022888,37.6544811303733,,20260326092041,,,노브랜드 남양주화도2점,12169,41,360.0,SH,SH04,SH040300
경기도 남양주시 화도읍 창현로 57,,,,,,4025357,38,20260226233047,https://tong.visitkorea.or.kr/cms/resource/82/4042782_image2_1.JPG,https://tong.visitkorea.or.kr/cms/resource/82/4042782_image3_1.JPG,Type3,127.305014130874,37.6455884816881,,20260326092041,,,노브랜드 남양주화도점,12183,41,360.0,SH,SH04,SH040300
경기도 남양주시 고산로 160 (삼패동),,,,,,4012018,38,20260205112909,https://tong.visitkorea.or.kr/cms/resource/14/4042714_image2_1.JPG,https://tong.visitkorea.or.kr/cms/resource/14/4042714_image3_1.JPG,Type3,127.183799593817,37.5943329017521,,20260326092041,,,노스페이스 TNF삼패점,12245,41,360.0,SH,SH04,SH040300
경기도 남양주시 다산순환로 50 (다산동),3층,,,,,4025346,38,20260226232240,https://tong.visitkorea.or.kr/cms/resource/73/4044773_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/73/4044773_image3_1.jpg,Type3,127.152429100255,37.616257926116,,20260330091611,,,노스페이스 현대프리미엄아울렛 스페이스원점,12248,41,360.0,SH,SH04,SH040300
경기도 남양주시 화도읍 북한강로 1171,,31.0,A05,A0502,A05020900,2765575,39,20211102005437,http://tong.visitkorea.or.kr/cms/resource/57/2766357_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/57/2766357_image3_1.jpg,Type3,127.3441918009,37.6183409558,6.0,20250106173006,9.0,,녹화,12194,41,360.0,FD,FD05,FD050100
경기도 남양주시 화도읍 묵현로 66-22,,31.0,A05,A0502,A05020100,2863171,39,20221004145745,http://tong.visitkorea.or.kr/cms/resource/55/2863155_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/2863155_image3_1.jpg,Type3,127.2932007385,37.6619655132,6.0,20250513104340,9.0,,논골추어탕,12158,41,360.0,FD,FD01,FD010100
경기도 남양주시 조안면 삼봉리,227,,,,,3018011,28,20231005134521,https://tong.visitkorea.or.kr/cms/resource/04/4059904_image2_1.JPG,https://tong.visitkorea.or.kr/cms/resource/04/4059904_image3_1.JPG,Type3,127.339,37.5944,6.0,20260424091626,,,뉴삼봉수상레저,12278,41,360.0,LS,LS02,LS021400
경기도 남양주시 별내면 청학로48번길 29-13,,31.0,A03,A0303,A03030500,2762898,28,20211027002631,,,,127.1241287512,37.706601695,6.0,20250404122644,9.0,,늘푸른낚시터,12077,41,360.0,LS,LS02,LS020500
경기도 남양주시 수레로640번길 77,,31.0,A05,A0502,A05020100,2863143,39,20221004144840,http://tong.visitkorea.or.kr/cms/resource/29/2863129_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/2863129_image3_1.jpg,Type3,127.2796422028,37.6153817897,6.0,20250513103805,9.0,,늘푸른정원,12202,41,360.0,FD,FD01,FD010100
경기도 남양주시 불암산로59번길 16-15,1층 2층,31.0,A05,A0502,A05020900,2830315,39,20220729115533,http://tong.visitkorea.or.kr/cms/resource/13/2830313_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/2830313_image3_1.jpg,Type3,127.1050571093,37.6500662592,6.0,20250115132552,9.0,,닉센,12100,41,360.0,FD,FD05,FD050100
경기도 남양주시 와부읍 석실로317번길 58,,31.0,A05,A0502,A05020100,2860371,39,20220927094932,http://tong.visitkorea.or.kr/cms/resource/64/2860364_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/64/2860364_image3_1.JPG,Type3,127.2142681964,37.594496917,6.0,20250513094838,9.0,,다람쥐마을,12204,41,360.0,FD,FD01,FD010100
경기도 남양주시 조안면 다산로747번길 11,,,,,,2734893,14,20210818223050,https://tong.visitkorea.or.kr/cms/resource/41/3507841_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/41/3507841_image3_1.jpg,Type1,127.2998987869195,37.51631383979411,6.0,20260311100340,,,다산기념관,12283,41,360.0,VE,VE07,VE070200
