기준연월,지역명,관광소비액(백만원),전국 관광소비액(백만원),전국 대비 관광소비율
202501,경기도 남양주시,8761.0,605595.0,1.4
202502,경기도 남양주시,7527.0,530778.0,1.4
202503,경기도 남양주시,9902.0,626429.0,1.6
202504,경기도 남양주시,9226.0,574769.0,1.6
202505,경기도 남양주시,10726.0,682499.0,1.6
202506,경기도 남양주시,9314.0,627702.0,1.5
202507,경기도 남양주시,8778.0,600599.0,1.5
202508,경기도 남양주시,8904.0,579721.0,1.5
202509,경기도 남양주시,9502.0,591325.0,1.6
202510,경기도 남양주시,12224.0,699760.0,1.7
202511,경기도 남양주시,11761.0,731979.0,1.6
202512,경기도 남양주시,11073.0,763750.0,1.4
