contentid,recommend_rank,title,addr1,content_type_name,target_tourism_type,type_top1,type_top1_prob,recommend_score,predicted_recommend_score,nav_score,type_quality_score,info_score,recent_score,regional_demand_score,type_prob_관광지,type_prob_레저스포츠,type_prob_문화관광,type_prob_쇼핑,type_prob_숙박,type_prob_역사관광,type_prob_음식,type_prob_자연관광,type_prob_체험관광,avg_monthly_visitors,avg_visitor_growth_rate,avg_stay_time,avg_overnight_days,avg_overnight_ratio,avg_tourism_spending_outsider,avg_local_currency_spending,mapx,mapy,has_image,has_tel,has_addr
3013767,1,카페스토리,경기도 남양주시 와부읍 팔당로81번길 74-65,음식점,음식,음식,0.8348243156311335,72.49696822435052,71.99679775054122,1.0,0.1269128313207443,0.9,0.9686346863468634,0.5833333333333334,0.0241142073816508,0.0324663992042141,0.0404346086206343,0.0166139421949342,0.0216489108531876,0.0116146798735601,0.8348243156311335,0.010883257382632,0.007399678858053,5961419.583333333,2.491666666666667,1239.0,3.6041666666666665,7.275000000000001,0,11009367.0,127.24131330613548,37.55486695898276,1,0,1
2863065,2,카펜트리,경기도 남양주시 진접읍 경복대로212번길 15,음식점,음식,음식,0.8269735050656907,71.93661027175622,71.86902335971777,1.0,0.1241557353420485,0.9,0.929889298892989,0.5833333333333334,0.0212435864294841,0.0285089149565636,0.0438256956397978,0.0227331555909291,0.0261376040013312,0.0117192079287607,0.8269735050656907,0.0109834375818372,0.0078748928056051,5961419.583333333,2.491666666666667,1239.0,3.6041666666666665,7.275000000000001,0,11009367.0,127.205595705715,37.7170021565706,1,0,1
3013584,3,카페 뷰66 미호점,경기도 남양주시 강변북로632번길 66 (수석동),음식점,음식,음식,0.8400174599915072,72.48093636347804,71.8433162483451,1.0,0.10745623240536378,0.9,0.9981549815498155,0.5833333333333334,0.0166351612074361,0.0298544653401059,0.0364732364321623,0.0171039718586176,0.0354223357445108,0.0107200978362374,0.8400174599915072,0.0133887973426377,0.0003844742467844,5961419.583333333,2.491666666666667,1239.0,3.6041666666666665,7.275000000000001,0,11009367.0,127.17609249162795,37.587323341469634,1,0,1
798518,4,가든갤러리,경기도 남양주시 강변북로632번길 57-28 (수석동),음식점,음식,음식,0.7730897870305956,72.13639071304408,71.67018589569798,1.0,0.1653324536818397,0.9,0.948339483394834,0.5833333333333334,0.0292337176607358,0.0485520776246498,0.0516571605374836,0.0337453290860569,0.0278324302015072,0.0149100748986331,0.7730897870305956,0.0168191807220027,0.0041602422383347,5961419.583333333,2.491666666666667,1239.0,3.6041666666666665,7.275000000000001,0,11009367.0,127.17413422606715,37.58774484472282,1,0,1
2829105,5,라온숨,경기도 남양주시 화도읍 북한강로 1146,음식점,음식,음식,0.8218426353863569,71.66523155318984,71.59625044809867,1.0,0.1328851361750748,0.9,0.8929889298892989,0.5833333333333334,0.0265901086706711,0.0304904059340938,0.0391754140904969,0.0254445518106604,0.0198276766279076,0.0176675481645218,0.8218426353863569,0.0164355251999072,0.002526134115384,5961419.583333333,2.491666666666667,1239.0,3.6041666666666665,7.275000000000001,0,11009367.0,127.34390935598898,37.61617058251953,1,0,1
2828356,6,카페대너리스,경기도 남양주시 조안면 북한강로 914,음식점,음식,음식,0.814939432294204,71.49487356319757,71.55739018311938,1.0,0.1378472220204067,0.9,0.8763837638376384,0.5833333333333334,0.026805946812278,0.0353166825612988,0.0384112996489325,0.0276753099354178,0.0195380357499711,0.0123429895233226,0.814939432294204,0.0143366860494128,0.010633617425162,5961419.583333333,2.491666666666667,1239.0,3.6041666666666665,7.275000000000001,0,11009367.0,127.339040879713,37.5975022833872,1,0,1
799603,7,초대,경기도 남양주시 강변북로632번길 6-45,음식점,음식,음식,0.8362515093436698,71.08454675811407,71.06156812511168,1.0,0.11241693468023932,0.9,0.8542435424354243,0.5833333333333334,0.0139012304801537,0.0221711145016907,0.043489311837638,0.0294615978449649,0.0218699581311256,0.0102937143572335,0.8362515093436698,0.0168526187890836,0.0057089447144398,5961419.583333333,2.491666666666667,1239.0,3.6041666666666665,7.275000000000001,0,11009367.0,127.171546520918,37.5855453348476,1,0,1
2876677,8,수사골,경기도 남양주시 오남읍 진건오남로708번길 53,음식점,음식,음식,0.8356011235100211,71.21036748346653,71.00168582371448,1.0,0.11181568652236061,0.9,0.8690036900369004,0.5833333333333334,0.0157764039563342,0.0195537775792507,0.0462625485722436,0.0334699546198695,0.0191132353477483,0.0132913927207115,0.8356011235100211,0.0149516496835121,0.0019799140103085,5961419.583333333,2.491666666666667,1239.0,3.6041666666666665,7.275000000000001,0,11009367.0,127.21413365243625,37.69839929669903,1,0,1
615484,9,광릉돌솥밥,경기도 남양주시 진접읍 금강로1845번길 1,음식점,음식,음식,0.8351692527167931,70.46212299956962,70.89802292923241,1.0,0.11255024365121731,0.9,0.7933579335793358,0.5833333333333334,0.0157764039563342,0.0226280400865029,0.0406527010137534,0.0331672682842408,0.0191132353477483,0.0132913927207115,0.8351692527167931,0.0149516496835121,0.0052500561904032,5961419.583333333,2.491666666666667,1239.0,3.6041666666666665,7.275000000000001,0,11009367.0,127.208683595599,37.7496470332916,1,0,1
2820866,10,키스톤 스피시즈,경기도 남양주시 경춘로 1104-2 (금곡동),음식점,음식,음식,0.8638505978247178,70.84504188031853,70.68705377549732,1.0,0.10953942240015581,0.75,0.9446494464944649,0.5833333333333334,0.0279852966228,0.0201598803084506,0.022406021152869,0.0039290394991264,0.0226809402759995,0.0065609831034009,0.8638505978247178,0.0252815535201458,0.0071456876924895,5961419.583333333,2.491666666666667,1239.0,3.6041666666666665,7.275000000000001,0,11009367.0,127.225480055151,37.6365609696014,0,0,1
