stay_night_type,avg_stay_night_ratio,avg_previous_stay_night_ratio,avg_growth_rate,stay_night_ratio_scaled,growth_rate_scaled,stay_course_score
1박,64.15,65.3,-1.15,1.0,0.0,0.7
2박,15.37,15.46,-0.09,0.22138866719872305,0.5729729729729729,0.32686395893099796
3박,6.19,5.98,0.21,0.07486033519553073,0.7351351351351352,0.27294277517741206
4박,3.43,3.26,0.18,0.03080606544293695,0.7189189189189189,0.23723992148573153
5박,2.24,2.17,0.08,0.011811652035115729,0.6648648648648648,0.20772761588404046
6박,1.5,1.41,0.09,0.0,0.6702702702702703,0.20108108108108108
7박이상,7.11,6.41,0.7,0.08954509177972866,1.0,0.36268156424581005
