year_month,year,month,quarter,region_name,local_currency_consumption,local_currency_consumption_million,local_currency_growth_rate,local_currency_consumption_scaled,local_currency_growth_scaled,local_currency_activity_score,is_local_currency_peak_month
2025-01,2025,1,1,경기도 남양주시,95490,95.49,0.0,0.0,0.003776761464069109,0.0007553522928138218,0
2025-02,2025,2,1,경기도 남양주시,7155927,7155.927,7393.901979264845,0.39373986782089626,1.0,0.5149918942567171,0
2025-03,2025,3,1,경기도 남양주시,11821421,11821.421,65.19761870125282,0.6539207873417678,0.012561214250911544,0.5256488727235965,0
2025-04,2025,4,2,경기도 남양주시,10992550,10992.55,-7.011602073896195,0.6076970822112534,0.002832047706032973,0.48672407531020934,0
2025-05,2025,5,2,경기도 남양주시,11394660,11394.66,3.6580229337142,0.6301215777841848,0.0042696280808951275,0.5049511878435269,0
2025-06,2025,6,2,경기도 남양주시,10661538,10661.538,-6.433908515041253,0.5892375136141353,0.0029098837051708785,0.47197198763234244,0
2025-07,2025,7,3,경기도 남양주시,14956075,14956.075,40.28065181590124,0.8287312490205908,0.009204006985433895,0.6648258006135594,1
2025-08,2025,8,3,경기도 남양주시,18027220,18027.22,20.534431660713114,0.9999999999999999,0.006543484375449163,0.8013086968750898,1
2025-09,2025,9,3,경기도 남양주시,14268539,14268.539,-20.850031230550247,0.7903893823964558,0.0009675159947182565,0.6325050091161083,1
2025-10,2025,10,4,경기도 남양주시,14193598,14193.598,-0.5252184543911631,0.7862101425796618,0.0037059957396870795,0.629709313211667,0
2025-11,2025,11,4,경기도 남양주시,10215009,10215.009,-28.030869973913585,0.5643359006632377,0.0,0.4514687205305902,0
2025-12,2025,12,4,경기도 남양주시,8330377,8330.377,-18.44963621666902,0.4592355004229932,0.0012909351178281383,0.3676465873619602,0
